path,recommendation,reasons,sharpness,brightness,contrast,noise,black_frac,white_frac,aesthetic,is_utility,face_quality,cluster_id,cluster_size,is_keeper,width,height,megapixels,file_bytes,asset_id,error
IMG_0691.HEIC,keep,,564.7,128.0,76.2,1.17,0.0,0.087,0.355,False,,-1,1,True,3024,4032,12.19,0,D10026C2-6C2D-4B92-B1C6-0DF58E04908A/L0/001,
IMG_1859.HEIC,keep,,565.7,135.3,61.1,1.23,0.001,0.014,0.367,False,0.506,-1,1,True,3024,4032,12.19,0,C381FDB4-48F8-48F2-8157-CC82D3FD918E/L0/001,
IMG_0478.HEIC,keep,,569.8,141.3,74.2,0.84,0.001,0.001,0.586,False,,-1,1,True,4032,3024,12.19,0,1D36AE1E-D1A4-4B51-9367-985ECEB5EA39/L0/001,
IMG_1847.HEIC,keep,,572.3,130.8,62.6,0.61,0.0,0.038,0.507,False,,-1,1,True,4032,3024,12.19,0,99794EF1-52E3-4D38-A24C-89BA868EF985/L0/001,
IMG_0535.HEIC,keep,,572.9,124.2,65.5,0.44,0.001,0.0,0.729,False,,-1,1,True,4032,3024,12.19,0,DCCBD0B7-7160-469D-BE42-6486BCE2B601/L0/001,
IMG_0852.HEIC,keep,,574.7,161.9,68.2,0.31,0.002,0.0,0.562,False,,-1,1,True,4032,3024,12.19,0,C5C8E8ED-B44A-4684-ABA9-DF39F76A77E4/L0/001,
IMG_0036.JPG,keep,,578.5,116.2,55.1,0.79,0.0,0.011,0.468,False,0.362,-1,1,True,3024,4032,12.19,0,51ECE8B8-CD2A-43DA-AAB6-7C348E76AD1C/L0/001,
IMG_1045.HEIC,keep,,578.8,116.1,76.6,1.43,0.007,0.0,0.295,False,,-1,1,True,3024,4032,12.19,0,6022B492-A4D5-45C1-B494-E9CF63E2492B/L0/001,
IMG_0480.HEIC,keep,,582.5,136.2,66.7,0.76,0.0,0.004,0.518,False,,-1,1,True,4032,3024,12.19,0,2073841B-3375-4937-BF8E-05B831EF8A5C/L0/001,
IMG_1223.HEIC,keep,,582.8,163.7,40.1,0.4,0.0,0.004,0.639,False,,70,2,True,4032,3024,12.19,0,CBFB5576-F52C-4735-9072-51A0FFC286E9/L0/001,
IMG_1840.HEIC,keep,,584.2,58.2,58.7,0.59,0.027,0.01,0.306,False,0.366,-1,1,True,3024,4032,12.19,0,C73EC88A-5E21-4B95-90C1-890A34633C91/L0/001,
IMG_0969.HEIC,keep,,587.0,161.2,56.1,0.32,0.006,0.012,0.446,False,,94,2,True,4032,3024,12.19,0,0F98BEB5-8AE6-4745-8F4E-46CF38980AF9/L0/001,
IMG_0252.HEIC,keep,,587.3,136.1,72.9,0.98,0.008,0.001,0.588,False,0.515,171,3,True,4032,3024,12.19,0,CAF1969F-B7C4-457B-A47E-C9346B5103A2/L0/001,
IMG_0569.HEIC,keep,,588.1,110.8,55.6,0.41,0.0,0.0,0.64,False,,151,3,True,4032,3024,12.19,0,12AAB8AF-9004-48C0-BEEA-72E6C59D2F17/L0/001,
IMG_1774.HEIC,keep,,589.3,103.8,76.4,0.95,0.008,0.063,0.316,False,0.641,-1,1,True,3024,4032,12.19,0,BA48B041-69A4-489C-AD17-F4771B03808C/L0/001,
IMG_1717.HEIC,keep,,593.1,146.3,68.9,1.63,0.001,0.003,0.59,False,,-1,1,True,7546,3856,29.1,0,92438197-292A-4773-BB0E-4053FEDDED61/L0/001,
IMG_0050.HEIC,keep,,595.4,107.9,55.5,0.52,0.001,0.02,0.354,False,,-1,1,True,3024,4032,12.19,0,E6B30E90-DAF1-4D11-95D4-283DA0A50D3E/L0/001,
IMG_0666.HEIC,keep,,597.0,149.1,59.5,1.12,0.0,0.0,0.525,False,,-1,1,True,4032,3024,12.19,0,08A64603-33AC-4FA6-989B-1A7E8665DADE/L0/001,
IMG_1165.HEIC,keep,,598.1,124.4,72.4,2.04,0.004,0.005,0.651,False,0.547,81,3,True,4032,3024,12.19,0,701CF1CE-4227-4693-8098-86F1DD96645C/L0/001,
IMG_0046.JPG,keep,,598.6,86.2,60.3,1.01,0.0,0.014,0.483,False,0.363,-1,1,True,3024,4032,12.19,0,9F880E01-9FBB-4E4B-A26B-31A5A206D903/L0/001,
IMG_0113.HEIC,keep,,600.3,95.1,61.1,0.68,0.002,0.01,0.5,False,0.574,-1,1,True,3024,4032,12.19,0,7FA5AEE3-4413-4DF5-B899-3FF32D8EE45E/L0/001,
IMG_1262.HEIC,keep,,602.5,102.9,68.5,1.49,0.003,0.013,0.46,False,0.495,60,2,True,3024,4032,12.19,0,EFE004A8-BC94-45F5-883F-EA4DF3397CA7/L0/001,
IMG_1264.HEIC,keep,,602.8,110.7,72.0,1.35,0.003,0.01,0.586,False,0.31,-1,1,True,4032,3024,12.19,0,B86BA782-D2AE-4267-8E8A-B5D4A9BDEE0A/L0/001,
IMG_0566.HEIC,keep,,603.2,97.5,42.3,1.07,0.0,0.0,0.703,False,,-1,1,True,3024,4032,12.19,0,5774CE76-C897-4C29-BFAA-0D0D72DEC0CE/L0/001,
IMG_0255.HEIC,keep,,603.5,141.2,69.9,0.6,0.002,0.002,0.537,False,,-1,1,True,4032,3024,12.19,0,DDF98809-E70D-4EC6-9B54-20CF825F62AC/L0/001,
IMG_0005.HEIC,keep,,605.0,97.8,62.5,1.15,0.008,0.006,0.669,False,0.452,-1,1,True,4032,3024,12.19,0,A66BFA36-1A49-4F31-BFD4-AC72408F7FEE/L0/001,
IMG_1606.HEIC,keep,,606.4,99.0,42.5,1.57,0.009,0.003,0.672,False,,-1,1,True,16382,3736,61.2,0,9A44AA0A-7612-4584-B196-7D1D68BD3058/L0/001,
IMG_0477.HEIC,keep,,609.8,139.5,58.0,0.37,0.002,0.006,0.529,False,,-1,1,True,4032,3024,12.19,0,E23E31DB-014A-4AFD-B87C-7CF9A254ADBB/L0/001,
IMG_1049.HEIC,keep,,612.0,51.9,66.1,0.58,0.33,0.014,0.338,False,,-1,1,True,4032,3024,12.19,0,583486A6-520D-47A4-90E4-40D6AA667320/L0/001,
IMG_0656.HEIC,keep,,615.4,133.3,56.8,0.53,0.0,0.002,0.573,False,,134,2,True,4032,3024,12.19,0,028D75AC-E1B3-45F7-B437-80E375731349/L0/001,
IMG_1694.HEIC,keep,,617.4,150.2,57.6,2.6,0.0,0.0,0.481,False,,-1,1,True,3024,4032,12.19,0,5F0D5628-5918-4D74-AF28-8B9D3353BB8A/L0/001,
IMG_0433.HEIC,keep,,617.8,132.5,77.4,0.49,0.001,0.004,0.445,False,,-1,1,True,4032,3024,12.19,0,D8D835FE-C9C0-408B-A108-3D904C64A1CE/L0/001,
IMG_1688.HEIC,keep,,618.1,144.7,71.0,0.76,0.001,0.003,0.482,False,,-1,1,True,4032,3024,12.19,0,886260E3-8266-4669-A391-AF38E6F01DE4/L0/001,
IMG_0391.HEIC,keep,,626.9,179.8,63.4,0.47,0.001,0.002,0.608,False,,-1,1,True,4032,3024,12.19,0,BB5CB666-89D1-4718-9CE4-B4171C84616D/L0/001,
IMG_0086.HEIC,keep,,627.7,95.9,73.3,1.0,0.012,0.027,0.517,False,0.537,-1,1,True,3024,4032,12.19,0,656DFDAF-606B-4785-BC81-E6442703EA39/L0/001,
IMG_0563.HEIC,keep,,629.0,100.0,44.5,1.47,0.0,0.0,0.777,False,,-1,1,True,3024,4032,12.19,0,31003EEF-5677-496F-AC3B-3D255FEFA718/L0/001,
IMG_0251.HEIC,keep,,636.9,128.0,67.1,3.07,0.002,0.001,0.552,False,0.477,-1,1,True,3024,4032,12.19,0,E8556B02-6986-45D1-BB91-A32FECED3477/L0/001,
IMG_0741.HEIC,keep,,649.2,134.5,70.3,1.72,0.003,0.017,0.341,False,,-1,1,True,3024,4032,12.19,0,604456C7-EAFF-42E0-8B23-5D20E1CEF03E/L0/001,
IMG_0431.HEIC,keep,,649.4,131.2,77.9,1.79,0.003,0.031,0.394,False,,-1,1,True,16382,3656,59.89,0,749A6F28-C24C-4808-B49D-373142BDD075/L0/001,
IMG_0440.HEIC,keep,,651.0,134.8,67.9,1.6,0.0,0.005,0.497,False,,-1,1,True,4032,3024,12.19,0,7D3160B0-824A-4BA5-A3CF-62E6F847C394/L0/001,
IMG_0352.HEIC,keep,,653.3,126.8,74.3,1.06,0.004,0.061,0.379,False,0.307,-1,1,True,3024,4032,12.19,0,9E0F5B12-6AFA-4343-85FD-73457E0C07FC/L0/001,
IMG_0555.HEIC,keep,,654.0,112.6,48.1,0.98,0.0,0.0,0.644,False,,-1,1,True,4032,3024,12.19,0,3CAA5E06-6FE1-4ABD-9522-89883674B49D/L0/001,
IMG_0032.JPG,keep,,655.0,121.5,56.0,0.9,0.0,0.015,0.611,False,,-1,1,True,3024,4032,12.19,0,C4A4E2ED-EC1F-41D5-B3E8-6538A7B5408D/L0/001,
IMG_0516.HEIC,keep,,655.1,151.3,67.2,0.8,0.0,0.016,0.63,False,,155,4,True,4032,3024,12.19,0,8431FBD2-18E5-4EBA-91FC-58FF21609B28/L0/001,
IMG_0384.HEIC,keep,,657.5,159.5,49.1,1.66,0.0,0.005,0.606,False,,-1,1,True,16382,3730,61.1,0,32900813-B191-4DA8-BCE3-8CF7EEB50C95/L0/001,
IMG_0048.JPG,keep,,659.9,92.7,52.2,0.74,0.0,0.014,0.55,False,0.319,-1,1,True,3024,4032,12.19,0,D74C9F5A-128A-4E2D-AAEE-468369930582/L0/001,
IMG_1837.HEIC,keep,,660.0,59.4,60.8,0.83,0.026,0.013,0.318,False,0.515,-1,1,True,3024,4032,12.19,0,0E8A87C9-4B82-441F-9EA0-2ADFC2A20C4F/L0/001,
IMG_0617.HEIC,keep,,660.0,127.1,74.2,1.41,0.002,0.013,0.541,False,,-1,1,True,8774,3704,32.5,0,2B287430-14A9-48E6-854B-7223DAD162F0/L0/001,
IMG_0624.HEIC,keep,,661.3,132.4,60.6,1.03,0.0,0.002,0.61,False,,140,2,True,4032,3024,12.19,0,C355A777-85AB-4C42-B385-EB57A6EA8A75/L0/001,
IMG_1624.HEIC,keep,,668.9,143.1,72.2,1.86,0.0,0.006,0.279,False,,-1,1,True,4032,3024,12.19,0,42C0AD21-F975-41F4-83A0-CF7DDBAA802C/L0/001,
IMG_0266.HEIC,keep,,673.2,119.7,65.1,3.38,0.003,0.001,0.463,False,0.465,-1,1,True,4032,3024,12.19,0,9C63A2F8-9918-477B-A995-E0599D3B3D3E/L0/001,
IMG_0250.HEIC,keep,,677.7,131.4,68.8,3.11,0.001,0.001,0.532,False,0.49,-1,1,True,3024,4032,12.19,0,CC5E59DF-1908-4528-BF80-49E8332F32C4/L0/001,
IMG_0042.JPG,keep,,680.2,121.7,67.6,0.97,0.0,0.036,0.585,False,0.328,-1,1,True,3024,4032,12.19,0,CC9AD3AB-CF45-4467-9311-881EAB964A8C/L0/001,
IMG_1277.HEIC,keep,,685.0,132.9,66.0,0.79,0.0,0.0,0.331,False,,-1,1,True,4032,3024,12.19,0,22FA6C68-F190-4216-8A8F-33E344EF6881/L0/001,
IMG_0714.HEIC,keep,,685.5,151.2,58.5,0.35,0.001,0.003,0.369,False,,-1,1,True,4032,3024,12.19,0,DB75BE0F-2C5C-4005-A90F-DE399C664BE6/L0/001,
IMG_1184.HEIC,keep,,688.6,105.3,70.0,0.44,0.0,0.044,0.401,False,,-1,1,True,4032,3024,12.19,0,2A7BCB90-E7F7-4B57-9C69-D256233F1376/L0/001,
IMG_0301.HEIC,keep,,693.9,131.9,65.4,0.89,0.003,0.005,0.644,False,0.58,-1,1,True,3024,4032,12.19,0,D3CFEFC8-1E05-4803-B52B-CC51CC4E3E6F/L0/001,
IMG_1697.HEIC,keep,,694.0,145.5,72.1,1.81,0.002,0.003,0.417,False,,-1,1,True,3024,4032,12.19,0,A12FE6D2-6E86-4DF2-9FAF-7193644A4494/L0/001,
IMG_0519.HEIC,keep,,694.7,147.3,56.5,2.75,0.0,0.006,0.576,False,,-1,1,True,4032,3024,12.19,0,A0839670-B025-4070-A53A-A1BEE626D790/L0/001,
IMG_0035.JPG,keep,,695.6,124.3,60.1,0.81,0.0,0.011,0.471,False,0.359,-1,1,True,3024,4032,12.19,0,E09B2CEA-08E6-4232-93F0-5B153830524B/L0/001,
IMG_0668.HEIC,keep,,696.5,144.7,56.3,0.25,0.001,0.0,0.502,False,,131,2,True,4032,3024,12.19,0,BDA32197-F31D-4BE5-B394-018CED59BF23/L0/001,
IMG_0287.HEIC,keep,,697.0,156.4,53.3,0.33,0.0,0.001,0.547,False,,-1,1,True,4032,3024,12.19,0,B8B481B9-EF98-4C0B-B0BD-CD460385A3B1/L0/001,
IMG_0462.HEIC.jpeg,keep,,697.2,121.5,71.3,2.26,0.002,0.002,0.625,False,0.3,-1,1,True,600,800,0.48,0,BD0F5C81-6EC2-403A-8DC9-5277CE735449/L0/001,
BE187C304A0544C7F29DC12E366B7035.jpg,keep,,698.6,132.0,64.3,2.86,0.012,0.0,0.737,False,,51,4,True,4056,3040,12.33,0,5637F518-CFA3-499F-9B15-D752424D6C35/L0/001,
IMG_0528.HEIC,keep,,700.4,103.6,66.3,2.38,0.0,0.004,0.533,False,,-1,1,True,4032,3024,12.19,0,E01F44B8-4796-42AA-ABB1-D67C4D294E7B/L0/001,
IMG_1127.HEIC,keep,,705.1,129.8,62.0,1.19,0.003,0.017,0.504,False,0.618,79,2,True,4032,3024,12.19,0,3FE80FF7-A552-479F-A446-574CADBF2CBF/L0/001,
IMG_0262.HEIC,keep,,710.3,144.6,58.3,1.19,0.002,0.002,0.454,False,,-1,1,True,4032,3024,12.19,0,76226AE6-4433-4FDD-BFB6-110FDD01D37C/L0/001,
IMG_1849.HEIC,keep,,711.9,124.9,62.4,0.83,0.001,0.035,0.498,False,,-1,1,True,4032,3024,12.19,0,AAD3BEA2-7658-4E02-B0EE-87D267C24F99/L0/001,
IMG_0300.HEIC,keep,,713.6,136.1,62.9,2.33,0.004,0.0,0.654,False,0.522,-1,1,True,3024,4032,12.19,0,7B905045-F740-4460-BE76-D05F6404C777/L0/001,
IMG_1468.HEIC,keep,,715.8,120.1,73.2,1.19,0.001,0.0,0.338,False,,43,3,True,3024,4032,12.19,0,BFE6A7E6-042C-4161-934E-2DCE1F90F4FE/L0/001,
IMG_1035.HEIC,keep,,717.0,137.1,78.6,2.19,0.0,0.008,0.454,False,,-1,1,True,5174,3920,20.28,0,38434B33-9B37-4A2B-A08F-2018F35F3CAA/L0/001,
IMG_0439.HEIC,keep,,717.5,147.4,66.4,2.21,0.0,0.022,0.564,False,,-1,1,True,12414,3788,47.02,0,FDAA31B4-1E2A-462C-91B1-79CD6185B315/L0/001,
IMG_1458.HEIC,keep,,721.0,124.6,63.1,0.96,0.014,0.052,0.557,False,0.417,44,3,True,4032,3024,12.19,0,C1E53F50-849E-4EEF-ACE0-E40B524B1859/L0/001,
EF6146F75269C819D85715F61A9846E4.jpg,keep,,724.3,135.4,47.4,1.37,0.004,0.0,0.537,False,,-1,1,True,4056,3040,12.33,0,882B8712-A086-49A7-8311-AB275AA0BC85/L0/001,
IMG_1450.HEIC,keep,,724.6,101.7,82.8,2.0,0.12,0.019,0.465,False,,45,6,True,4814,3948,19.01,0,C5D29142-3FC6-41B7-9DE6-1DF457D70960/L0/001,
8EB7E86A062828090FAB9D14839F41F6.jpg,keep,,732.5,97.1,70.4,3.05,0.0,0.001,0.663,False,,-1,1,True,4056,3040,12.33,0,D48A772D-F09C-42FF-8247-76152FFFDB9F/L0/001,
IMG_1659.HEIC,keep,,735.2,152.6,73.0,2.15,0.002,0.0,0.349,False,,32,2,True,3024,4032,12.19,0,ECE29ED8-589F-4A11-BFA2-F9253D7D08F1/L0/001,
IMG_0392.HEIC,keep,,736.3,164.6,67.1,0.49,0.001,0.001,0.564,False,,-1,1,True,9236,3718,34.34,0,7B6887FC-930D-4916-96CA-41F3DBFEBE18/L0/001,
IMG_1856.HEIC,keep,,738.2,122.9,63.6,0.47,0.002,0.018,0.297,False,0.451,-1,1,True,3024,4032,12.19,0,65F768DA-BF9D-4906-8E3E-3454EB3B77C9/L0/001,
IMG_0388.HEIC,keep,,738.3,177.7,64.5,0.3,0.001,0.0,0.622,False,,-1,1,True,4032,3024,12.19,0,B4C0734B-DF6A-4B2A-AA26-9AC27ED37205/L0/001,
IMG_0493.HEIC,keep,,739.0,131.0,71.1,1.99,0.004,0.065,0.541,False,,156,2,True,14384,3628,52.19,0,80133BC4-CA5E-40BB-875C-2E68EFB987C2/L0/001,
IMG_1038.HEIC,keep,,739.6,145.3,70.3,1.2,0.002,0.0,0.569,False,,-1,1,True,4032,3024,12.19,0,448ED28D-4693-4EA1-AAEC-06F63196AE73/L0/001,
24076D54E79EE1AD2EF82FDE15BEF716.jpg,keep,,740.3,142.1,47.5,3.32,0.005,0.0,0.539,False,,-1,1,True,4056,3040,12.33,0,61402904-8B5D-46E9-BE92-818DB72E43B7/L0/001,
IMG_0482.jpg.jpeg,keep,,741.7,132.8,64.0,2.53,0.0,0.008,0.603,False,,157,2,True,1280,555,0.71,0,2187369D-B036-421F-AE96-66F97928EDDD/L0/001,
IMG_0634.HEIC,keep,,741.9,142.3,64.1,0.42,0.001,0.002,0.631,False,,-1,1,True,4032,3024,12.19,0,9D4131BE-C200-4A13-9F7D-A1BCD8D08050/L0/001,
IMG_1048.HEIC,keep,,744.1,58.5,54.4,0.66,0.001,0.013,0.363,False,,-1,1,True,4032,3024,12.19,0,2776E099-CA23-4D30-A7A4-D65AD3F0668C/L0/001,
IMG_1028.HEIC,keep,,746.2,109.1,50.6,2.63,0.0,0.004,0.6,False,,-1,1,True,11564,3924,45.38,0,C6ACDC88-95CF-4E51-81E2-9C7AE9BE05A4/L0/001,
IMG_0244.HEIC,keep,,747.0,147.8,60.2,0.72,0.003,0.001,0.443,False,,-1,1,True,4032,3024,12.19,0,B239C5B8-2EFE-43BF-8BA7-B7487429A622/L0/001,
IMG_0010.HEIC,keep,,748.6,95.8,64.7,0.62,0.004,0.031,0.566,False,0.379,-1,1,True,3024,4032,12.19,0,D848D690-6DCF-47E9-998F-F27E039D1224/L0/001,
IMG_1451.HEIC,keep,,754.5,117.1,73.9,2.18,0.001,0.001,0.492,False,,-1,1,True,3600,3738,13.46,0,FBCAB859-01A8-4FAD-AA36-B53AEED14A13/L0/001,
IMG_0472.HEIC,keep,,756.0,154.5,57.9,0.43,0.001,0.002,0.548,False,,-1,1,True,4032,3024,12.19,0,B17A1263-9A30-4CBC-ACFB-DB4D2C229CA1/L0/001,
IMG_0236.HEIC,keep,,757.5,137.0,58.9,1.0,0.0,0.001,0.493,False,,-1,1,True,4032,3024,12.19,0,62B79591-7587-411F-98DC-8C2B027E2B67/L0/001,
IMG_0538.HEIC,keep,,758.7,117.0,59.8,0.98,0.001,0.001,0.632,False,,-1,1,True,7250,3866,28.03,0,75E598EA-C934-43DD-ABC1-63FCAEA9FDFE/L0/001,
